ID,OE,Prisotnost,,,,
20989,SDT,35.6,,,,
83230197,SDT,210.25,,,,
20489,SDT,107,,,,
20475,SDT,210.25,,,,
82925821,SDT,203,,,,
21171,SDT,210.25,,,,
20407,SDT,139,,,,
20743,SDT,168,,,,
20773,SDT,204,,,,
84587477,SDT,196.06,,,,
83715805,SDT,210.19,,,,
20795,SDT,210.25,,,,
20777,SDT,198.25,,,,
20205,SDT,207.63,,,,
20531,SDT,15.8,,,,
20469,SDT,219,,,,
21221,SDT,206.19,,,,
20533,SDT,222,,,,
20147,SDT,195.06,,,,
20647,SDT,220.25,,,,
83124689,SDT,233,,,,
20763,SDT,217,,,,
20879,SDT,218,,,,
20189,SDT,197,,,,
20457,SDT,218.25,,,,
20271,SDT,207,,,,
20213,SDT,212.25,,,,
20665,SDT,196,,,,
21035,SDT,214,,,,
82925669,SDT,202,,,,
20171,SDT,215,,,,
